rewards,infected
-926.2833333333335,911.933333333333
-925.6666666666667,911.6999999999998
-924.6833333333334,910.6
-924.3166666666667,910.7666666666667
-926.4000000000001,912.6999999999998
-926.45,911.833333333333
-926.0000000000001,911.5666666666664
-922.7166666666665,909.7666666666667
-926.7333333333332,912.3000000000001
-925.8333333333334,912.1999999999997
-924.0666666666667,911.1666666666666
-923.4833333333332,909.9333333333334
-926.6666666666667,912.1999999999998
-925.9333333333335,910.8333333333334
-925.4500000000003,911.0333333333333
-926.1500000000001,911.8666666666667
-925.2499999999998,911.433333333333
-926.7333333333335,912.9666666666668
-925.6999999999999,911.8000000000001
-925.2333333333335,911.4333333333333
-922.9333333333335,908.5666666666667
-925.5000000000001,911.3000000000002
-926.0000000000001,911.6999999999999
-925.75,911.4999999999999
-923.1333333333332,909.5666666666666
-927.8000000000001,914.0999999999999
-927.6666666666666,912.8666666666666
-925.95,912.8
-929.1333333333332,914.4666666666665
-924.8166666666666,911.3
-927.2499999999998,912.3333333333333
-928.4666666666669,914.8666666666664
-925.8333333333334,911.8999999999997
-923.9833333333331,910.1666666666667
-925.5166666666667,911.2333333333333
-924.5166666666667,910.8999999999999
-923.2666666666665,910.1666666666669
-925.5166666666668,912.1666666666664
-924.8333333333333,910.5333333333332
-925.6166666666669,910.9000000000001
-927.0999999999998,912.5999999999999
-924.9333333333333,911.3999999999999
-927.5666666666666,913.5666666666667
-925.5,911.1666666666664
-927.8499999999999,913.1666666666666
-927.9666666666669,913.2666666666668
-925.1000000000003,911.0
-925.85,912.1333333333333
-926.4166666666667,911.8666666666668
-925.1833333333334,911.2333333333333
-925.9000000000001,912.3666666666668
-926.4833333333333,911.7333333333335
-927.8833333333331,913.5666666666665
-927.8000000000001,914.0333333333334
-925.3333333333333,911.1333333333332
-925.2666666666668,911.2666666666668
-924.9166666666669,910.5
-923.4500000000002,910.3666666666666
-924.5166666666667,910.3333333333335
-928.2833333333336,914.8000000000001
-926.3000000000001,911.4666666666666
