rewards,infected
-14.8,15.0
-24.4,22.0
-17.6,16.8
-20.599999999999998,19.6
-7.6000000000000005,9.4
-18.6,18.200000000000003
-14.6,13.8
-13.8,13.200000000000001
-17.2,17.400000000000002
-20.2,18.8
-17.4,17.2
-17.0,18.0
-24.0,22.4
-10.4,10.0
-15.8,14.4
-21.4,19.6
-16.4,14.2
-17.0,17.0
-10.600000000000001,10.8
-17.8,17.4
-25.6,24.2
-16.400000000000002,15.600000000000001
-14.6,14.0
-22.0,21.2
-17.799999999999997,17.6
-15.0,15.600000000000001
-18.599999999999998,18.2
-17.2,15.2
-19.2,17.799999999999997
-12.8,14.2
-17.4,17.0
-13.2,13.8
-17.8,16.6
-22.8,21.800000000000004
-17.799999999999997,16.0
-14.600000000000001,14.2
-16.2,16.4
-15.8,16.2
-13.8,13.400000000000002
-26.6,25.8
-17.6,16.799999999999997
-21.6,20.8
-19.799999999999997,17.8
-10.2,10.2
-19.799999999999997,18.599999999999998
-16.6,16.2
-13.399999999999999,13.2
-18.0,15.799999999999999
-23.000000000000004,21.4
-21.200000000000003,20.8
-19.799999999999997,19.0
-15.399999999999999,15.6
-15.2,15.600000000000001
-15.2,14.4
-22.4,21.400000000000002
-16.6,16.2
-18.8,16.599999999999998
-17.799999999999997,16.8
-18.599999999999998,17.2
-16.4,17.0
-11.8,10.8
-22.400000000000002,21.6
-16.2,15.200000000000001
-15.4,15.200000000000001
-13.8,12.600000000000001
-20.2,18.200000000000003
-24.4,22.6
-14.0,13.4
-17.8,18.0
-14.2,13.6
-19.0,17.0
-15.200000000000001,14.200000000000001
-18.4,19.8
-20.599999999999998,19.6
-14.600000000000001,13.200000000000001
-16.0,14.8
-19.2,18.2
-17.0,16.0
-19.0,18.6
-14.600000000000001,14.200000000000001
-13.6,13.600000000000001
-15.600000000000001,16.6
-21.400000000000002,20.6
-14.799999999999999,14.0
-20.2,19.799999999999997
-17.0,17.2
-18.200000000000003,17.4
-14.200000000000001,12.8
-20.8,19.6
-20.2,19.8
-18.200000000000003,16.6
-20.0,19.6
-13.0,14.0
-20.0,18.400000000000002
-18.200000000000003,17.599999999999998
-13.2,14.400000000000002
-15.6,16.2
-24.2,22.400000000000002
-23.2,22.0
-16.0,15.8
-13.8,13.400000000000002
-14.200000000000001,14.399999999999999
-20.2,19.200000000000003
-18.6,18.400000000000002
-15.600000000000001,16.6
-17.8,17.8
-16.799999999999997,16.6
-18.2,18.0
-10.399999999999999,10.8
-18.8,17.8
-19.2,18.4
-23.599999999999998,22.999999999999996
-24.4,23.6
-17.200000000000003,16.8
-15.600000000000001,16.799999999999997
-16.8,15.200000000000001
-23.0,21.8
-19.400000000000002,17.2
-14.8,14.4
-10.600000000000001,10.0
-11.0,11.2
-15.600000000000001,15.600000000000001
-14.6,12.2
-21.0,20.0
-14.6,13.399999999999999
-17.8,17.0
-16.400000000000002,16.6
-13.6,14.2
-16.599999999999998,15.4
-21.0,19.2
-23.0,21.4
-13.400000000000002,14.000000000000002
-16.200000000000003,15.8
-15.399999999999999,14.599999999999998
-18.4,18.0
-18.6,19.0
-13.8,14.8
-17.2,17.0
-16.8,16.4
-19.4,17.799999999999997
-23.4,22.0
-16.799999999999997,15.8
-14.8,14.600000000000001
-20.599999999999998,19.400000000000002
-17.0,15.0
-14.399999999999999,13.399999999999999
-15.600000000000001,14.2
-17.4,17.0
-15.8,15.2
-9.799999999999999,10.799999999999999
-19.4,18.200000000000003
-17.2,16.6
-17.6,16.2
-16.6,16.400000000000002
-18.2,18.2
-12.2,10.600000000000001
-16.6,17.4
-14.4,12.200000000000001
-19.2,19.4
-18.0,16.599999999999998
-15.8,14.399999999999999
-18.8,17.2
-14.599999999999998,14.2
-13.999999999999998,12.6
-14.0,11.8
-11.0,10.8
-16.8,14.600000000000001
-13.4,12.799999999999999
-15.0,14.0
-18.2,20.000000000000004
-18.0,16.0
-17.0,15.4
-11.2,10.799999999999999
-18.799999999999997,18.0
-13.4,12.4
-21.6,20.6
-12.4,13.4
-18.0,18.6
-16.2,14.8
-8.8,9.4
-17.400000000000002,16.8
-20.8,20.0
-17.599999999999998,16.6
-18.6,18.599999999999998
-13.8,14.799999999999999
-18.8,18.799999999999997
-10.600000000000001,12.2
-13.2,12.800000000000002
-20.4,20.599999999999998
-15.8,15.8
-15.399999999999999,15.0
-14.2,13.2
-15.8,14.8
-18.2,18.0
-12.6,12.200000000000001
-10.8,10.4
-13.399999999999999,12.2
-25.8,24.199999999999996
-26.4,24.6
-13.8,12.0
-19.8,19.2
-19.0,17.6
-13.2,14.200000000000001
-13.6,13.6
-12.599999999999998,11.399999999999999
-17.0,16.4
-16.0,16.4
-21.200000000000003,22.0
-17.199999999999996,16.4
-18.000000000000004,16.0
-15.599999999999998,14.799999999999999
-19.8,18.6
-17.2,15.8
-15.200000000000001,15.399999999999999
-10.0,10.6
-21.2,21.0
-19.400000000000002,19.0
-19.4,18.8
-23.0,22.199999999999996
-15.2,14.8
-20.000000000000004,17.799999999999997
-16.6,15.4
-13.6,13.2
-16.0,14.4
-15.4,14.8
-15.799999999999999,16.599999999999998
-17.2,17.200000000000003
-13.0,12.2
-18.0,18.0
-19.8,19.6
-20.0,18.2
-15.399999999999999,15.2
-18.0,17.0
-11.8,10.4
-17.800000000000004,17.2
-20.200000000000003,20.0
-20.2,19.2
-18.6,17.6
-19.6,18.2
-23.4,22.6
-18.400000000000002,16.4
-20.2,19.2
-16.4,14.2
-12.6,10.799999999999999
-19.8,18.200000000000003
-14.6,13.200000000000001
-14.6,13.400000000000002
-13.600000000000001,13.2
-16.200000000000003,16.2
-16.8,17.0
-20.6,18.2
-13.2,12.2
-23.4,23.0
-22.0,21.799999999999997
-18.000000000000004,17.799999999999997
-16.8,14.8
-20.400000000000002,18.6
-18.400000000000002,17.2
-16.8,15.600000000000001
-19.0,19.6
-24.6,23.800000000000004
-20.4,18.6
-17.2,15.000000000000002
-14.600000000000001,14.399999999999999
-16.6,14.999999999999998
-19.4,17.6
-16.0,15.600000000000001
-16.4,16.0
-16.0,14.799999999999999
-17.2,17.2
-14.2,15.4
-15.0,14.6
-17.2,17.000000000000004
-20.2,18.2
-16.4,15.799999999999999
-18.4,17.8
-16.599999999999998,15.4
-19.4,19.2
-11.6,12.2
-12.800000000000002,11.8
-18.400000000000002,16.4
-15.399999999999999,15.399999999999999
-16.2,14.8
-22.4,20.8
-18.4,18.199999999999996
-18.6,18.2
-17.2,16.4
-13.6,12.8
-12.600000000000001,13.2
-18.200000000000003,17.599999999999998
-13.799999999999999,14.400000000000002
-16.0,14.8
-17.6,16.0
-15.2,15.399999999999999
-19.0,17.799999999999997
-19.400000000000002,18.0
-15.200000000000001,14.8
-16.0,15.399999999999999
-20.6,19.0
-16.799999999999997,16.400000000000002
-17.4,17.8
-16.0,14.6
-15.2,14.200000000000001
-17.6,17.6
-16.6,14.4
-17.599999999999998,16.0
-18.2,17.4
-15.200000000000001,13.2
-19.2,18.599999999999998
-14.6,13.600000000000001
-15.4,13.6
-16.400000000000002,15.8
